@relation EpidemicML
@attribute prophet_probability numeric
@attribute buffer_occupency numeric
@attribute successful_deliveries numeric
@attribute success_ratio numeric
@attribute from_speed numeric
@attribute to_speed numeric
@attribute distance_to_end numeric
@attribute distance_from_source numeric
@attribute message_live_time numeric
@attribute from_energy numeric
@attribute to_energy numeric
@attribute current_hop_count numeric
@attribute is_succesfully_delivered {0,1}
@data
0.887835377,1.10E+07,4,0.8,0.624134063,8.478290715,1472.811753,0,434.6,151736.6,150941.1,1,1
0.860136097,2.13E+07,25,1,8.808732107,8.569804611,979.8023479,379.225639,2154.5,155362,156457.5,3,1
0.359978707,1614737,0,0,4.017619562,1.06959636,1042.993027,648.2775653,923.2,174092.8,174884.9,3,0
0.583271232,594877,3,1,11.2209472,0.538777601,1239.802791,1119.039481,7071.9,43729,41587.4,4,0
0.957674835,634615,8,0,0.832397072,0.583174286,761.6508353,1412.622509,6053,82058.9,81814.9,14,0
0.82917408,619119,0,1,0.619578092,1.047976053,1185.700668,312.3366136,8899.9,137245.6,139341.8,14,0
1,462166,0,0,9.969599429,5.024006972,0,0,2705,2156,8559.899998,1,1
0.92406829,514017,0,0,0.65628477,3.753756232,870.714877,995.9855182,756.7,156790.7,155637.7,5,1
0.849702916,448802,1,0.5,0.902382285,7.439548727,560.7961653,1497.139536,2167,105041,102107.4,2,1
0.711608101,2.49E+07,22,1,8.374806595,7.440893393,625.3409326,10.72881521,1463.1,158808.1,159533.1,2,1
0.715249279,424318,6,0.5,3.952010352,11.48080956,2565.994527,2516.146417,2674.5,80555.9,74900.4,7,0
0.818812711,851755,1,0.5,1.138484947,7.566689062,1241.082262,999.7078242,6953.3,55047.8,55524.9,2,0
0.905100714,2.99E+07,2,0.666666667,8.415226139,7.965758017,1307.849842,1213.536847,1066.1,159053.6,159232,3,1
0.980291569,201433,39,0.8125,8.331579452,9.286756054,211.8753055,0,5680.1,45510.1,43235,5,1
0.626240536,833141,2,0.4,5.715333893,1.015919383,841.9762285,1951.320841,2021,72692.5,73215.5,2,1
0.768764085,347372,2,1,3.350372346,1.302948256,1368.879535,1158.622956,1064.6,110331.1,112039.5,4,1
0.919085507,722606,1097,0.998180164,8.507780885,9.133890452,508.7364663,276.627631,9160.2,59540.2,61204.2,4,1
0.809085524,154879,1,1,1.009876228,0.558934565,1378.122335,1378.22883,1380.5,163565.5,162495.9,2,1
0.845850323,418116,424,1,4.541175886,13.05312597,1699.583479,655.6228285,3148.3,116015.5,116801.9,9,0
0.810529491,385046,7,0.285714286,12.0916082,0.524364746,1445.252337,2521.052985,6457.5,36638.2,35591.8,15,0
0.688960604,489469,2,0,0.960771859,7.680208448,1679.505895,221.4852234,5282.6,17353.1,18152.3,5,0
0.911094442,24061,3,1,0.786158297,1.405730489,1360.132484,0,2427.3,119806.8,119610.2,1,1
0.760751485,378341,3,0.222222222,1.037024268,7.536643555,933.9070125,1802.155377,1154.5,6620.099999,6783.8,7,0
0.74447457,791898,1,0.666666667,11.10701799,7.285641019,1129.548611,1497.047036,2447.2,29659.1,27606,9,0
1,513979,1,0.5,10.69765858,1.01884809,0,567.3517449,15181.3,76791.8,78019.7,12,1
0.505153099,489487,2,1,7.331781622,0.84855825,256.2198614,2789.093334,7738,139138.4,141799.4,7,0
0.843154022,372566,0,0.5,0.525514676,0.542434269,1184.770811,1684.23378,17372.4,90977.9,93974.9,4,0
0.849573876,293507,3,0.5,10.10654442,5.023678979,963.8166334,1939.916478,5788.1,58002.2,48133.2,15,0
0.66068669,6256593,2,0,7.649447288,2.815901597,1514.864757,1555.235794,13099.9,41937.2,41336.9,10,0
0.823325601,270015,1,1,5.216872411,3.087986181,908.6314391,1652.802024,11074.9,113892.9,110571.3,11,0
0.611064021,23434,7,0.684210526,0.572933245,7.599280755,1716.622479,93.85261747,13400.1,19046.7,12794.7,12,0
0.872504603,443396,0,0,7.558547574,0.61807807,1642.263496,575.2883521,11554.4,26871.3,26909.9,12,0
0.18599443,48509169,0,0,9.590963727,1.190683398,1380.056423,499.2351189,563.8,177304.3,177136.6,3,0
0.733902893,619657,3,0.75,0.921880419,0.77058867,2102.875576,0,48.29999973,21429.8,20363.3,1,1
0.747490567,362946,10,0.555555556,9.223779931,0.639673902,552.0905651,0,13941.2,20270.2,29967.1,1,1
0.821424604,678611,5,0.666666667,1.004647027,0.543038707,1587.5111,720.2369439,10658.3,38265.1,36295.4,3,0
0.887690113,175639,1325,0,1.461279221,10.38355864,166.1908656,2111.694432,10352.9,58545.6,59355.1,6,0
0.817601908,61822,0,1,0.526970537,0.585671675,691.1000559,424.2432083,3695.8,165101.5,163170,7,0
0.684242902,392531,2,1,0.525119489,0.540420314,1863.021602,1756.81,3396.3,160696.3,160632.8,3,1
0.773922033,458976,4,0.8,9.028922614,9.97524883,522.2729147,2004.51071,13672.4,113475.7,110469.6,14,0
0.874095344,1.44E+07,0,0,1.000259086,7.321716497,546.9478868,921.4721671,2782.5,154619.5,152736.4,4,1
0.767429336,354732,1060,0.333333333,0.721656292,0.933589234,947.4774389,437.8008438,2394.5,56455.5,51453,2,0
0.81178252,420523,0,0.5,1.377521404,0.944163938,563.2540674,696.2538975,6326.9,61982.4,62720.9,14,0
0.818062283,44569,9,0,0.802434477,0.748857119,1968.592674,793.9281686,1211.8,40188.7,39566,6,0
1,260788,3,0.3,7.562966509,0.689515088,0,1015.879455,11195.1,64108.6,68901.5,10,1
0.695236315,411350,0,1,1.169164053,0.739270938,1005.291301,1133.148129,11970,106059.1,102810.8,3,0
0.888648097,374654,94,1,7.146563693,9.862635842,1646.607722,1965.885934,4436.6,132318.6,133306.6,3,1
0.81910594,254569,1,1,3.555364706,6.483490226,413.766271,866.2741738,7384.9,9744.499998,11617.7,8,0
0.876387109,332714,1,0,0.912418476,5.670445844,1339.972741,533.2654187,10715.9,115426.7,121117.5,8,0
1,638422,0,0,5.15501689,12.31750292,0,1051.764766,1585.5,76873.5,76316.4,3,1
0.875433907,152170,72,0.75,7.876448247,8.883996818,2084.507055,0,7254,119647,119840.9,3,1
0.456096221,9424,3,0.75,7.146563693,0.853566947,321.6490365,1542.355788,4602.1,134452.1,136697.1,8,0
0.48283753,1558019,0,0,5.061238769,0.882601568,1329.19376,1283.220193,2237.1,72114.6,73285.5,2,1
0.827208208,400826,0,0,4.454855771,7.084906292,714.3496849,1650.41813,6859.3,56402.8,57197.9,15,0
0.299259447,4389686,0,0,3.243914423,1.009876228,2144.507008,0,850.1,165335.6,165817.1,1,1
0.925964836,2151716,838,1,8.34664624,8.745052973,1336.88651,473.217884,3738.2,79267.7,77897.2,5,1
1,135014,0,0,8.768175934,0.675373125,0,648.3012083,2278.2,152268.1,153091.2,4,1
0.732947204,6413,2,0.333333333,7.673344195,13.82182171,0,626.9952422,756,123804.2,122280.3,8,0
0.886447567,576411,1,1,1.047447509,1.234214479,1692.03263,392.9098161,1870.9,156947.9,157081.8,6,1
0.752926901,507555,0,0,3.243914423,0.525279216,1151.432336,803.8987461,2160.9,168590.6,167433.6,2,0
0.911655707,282844,4,0.571428571,0.956352939,2.978918961,549.8864465,2172.397961,4695.2,48606.2,46972.6,4,1
1,38867,2,0.333333333,6.314345178,0.530678278,0,1684.368143,1782.6,55266,56502.1,2,1
0.847036697,1566340,7,0,1.48809467,0.641561547,1146.78269,22.72065115,6028.8,140579.4,141544.9,7,0
0.423204664,108217,3,0,4.795461996,4.671540668,882.6742261,1092.102431,6051.1,144299.4,144085.9,10,0
0.887753281,2116,6,0.857142857,8.839801913,9.74255011,1403.886416,959.2582268,2031,169392,169507.9,5,1
0.892626091,691429,3,0,8.566380605,0.668052521,596.5960195,2054.152531,3024.7,49919.2,50592.6,7,0
1,3069194,0,0,8.410692128,1.190683398,0,972.5124933,1439.2,171098.6,171656.7,5,1
0.89875978,151726,1,1,0.791503785,0.705237057,779.9083914,1772.645787,3104.5,118295.5,119209.5,7,1
0.021151943,3359186,0,0,12.43090184,0.707071041,0,733.7107568,1031.7,173789.9,173916.1,3,0
0.913872056,190797,0,1,7.724035193,0.888782562,112.7081517,502.1663341,1177.5,58916.5,60774,13,0
0.77191625,755673,3,0.875,4.385432496,0.762330759,1146.315088,0.518788086,243,90329.5,95491.9,3,0
0.837153929,44868,0,0,6.280424219,2.748072254,644.8146425,248.3711032,10006.3,129663,131143,10,0
0.1433361,2234474,2,1,3.298507035,10.15672657,2486.363291,236.4738249,1449.1,171028.1,171432.7,2,0
0.918528442,314027,2,1,1.090906756,11.31910586,1195.810304,1053.170745,7353.3,145937,145724.3,14,0
0.931859802,2.41E+07,9,0.818181818,9.915261483,8.374806595,1113.880474,0,1458.4,158640.9,158849.9,1,1
0.804109507,1337159,6,0,9.961799655,1.30746212,1273.781367,0,3277.3,30524.6,32862.8,4,0
0.563267482,129407,1,1,1.492564333,0.970255523,1196.695089,0,262.3,119823.8,120327.8,1,1
0.554884393,224155,213,0.833333333,12.40421842,7.47344613,2447.012266,1467.336032,10154.7,128516.1,128664.3,4,0
0.76489509,953403,0,0,11.89078926,1.178699476,1177.079503,9.730647813,4579.7,108305.7,109564.1,4,1
0.878947544,475712,4,0.166666667,6.8007533,1.415666124,874.8441673,1180.862218,16216.7,5842.1,5487.000003,1,0
0.851272984,144950,14,0.933333333,1.004002711,0.924170983,133.2931322,1402.9618,2018.4,26098.9,25818.3,5,1
0.773127908,179164,2,0.997936726,7.972585485,1.464649478,1777.978397,1151.095361,1079.5,47140.5,50692.7,21,0
1,960609,0,0,1.125053695,1.297688696,0,557.1685408,8127.2,49947.1,51557.2,7,1
0.309842811,15248,0,0,1.107314861,1.217264992,833.5702751,341.57947,1544.7,154573.7,155117.6,3,1
0.900375059,124772,0,0,6.611756827,0.888782562,1447.74471,1425.346794,9927.7,62927.2,62681.4,16,0
0.688905248,164746,4,1,9.90418964,0.594460877,1479.467823,2.436577878,4929.1,159240.6,157995.3,2,0
0.476765952,587126,3,1,0.748653573,0.790374316,2051.991194,652.4706703,1308.2,162580.2,162190.7,2,1
0.669047035,339360,4,0,0.87582711,9.663280562,933.3586147,1545.073058,14836.8,80047.2,78641.4,7,0
0.650628216,440959,1,1,3.309809426,0.678302459,350.8272208,0,605.7,113636.2,114540.6,1,1
0.623572925,355815,5,1,1.048499314,0.781099973,713.2331044,1560.324592,2071.7,162116.2,162742.2,2,1
0.741323438,144173,0,1,9.028922614,9.97524883,685.2323998,928.4485841,2038,112556.9,110471.6,3,0
0.87940665,497011,136,1,8.890947124,9.461856796,842.2497404,1807.188679,7483,128624.5,129746.5,7,1
0.857513312,250828,0,0.99844841,0.754681239,7.061452401,1686.917713,0,7167.9,59397,63125.8,1,0
0.571296616,251243,2,1,8.114673064,0.533273399,1922.828031,1111.161689,5335.6,87713.8,91400.5,6,0
0.830630869,276394,0,0.5,6.504060937,4.429567454,1704.499342,1.72960894,1922.6,27924.7,25169.3,3,0
0.884817362,383162,2,0.75,8.925865776,1.06965979,673.0149034,742.5916667,12499.4,40927.3,41261.7,1,0
0.789136171,793801,0,1,7.956922498,8.830451152,1188.880881,0,10637.6,107796.9,111135,4,0
1,478818,0,0,0.850362773,0.848719764,0,1144.547775,5290.5,107441.5,108550.9,7,1
0.869640642,242116,1960,0.998509687,3.957484674,1.425268636,1100.391092,704.6338595,7596.2,20384.5,17971.6,2,0
0.787679745,232376,0,0,9.943806034,0.65628477,1452.003074,888.1720756,3719.2,156626.2,158178.6,5,1
0.794403879,666178,4,0.8,0.802434477,6.687996375,818.8510982,0,2569.7,39660.7,38194.1,1,1
0.496470079,733803,3,1,0.966565672,0.876487032,1976.984437,0,234,147643,148050,1,1
0.905003631,156345,2,1,10.70470809,11.23587449,1291.083508,0,777.2,134896,137454,7,0
0.852987785,606166,3,1,2.85817736,1.169164053,38.19110421,389.2363325,6713.8,100402.8,102090.8,10,1
1,436420,0,0,3.555815153,11.47853021,0,1719.634737,831.6,110427.1,110763,3,1
0.874617171,4.14E+07,8,1,8.627027812,9.226348066,1109.715612,589.5238017,1353.1,171974.1,171929.6,4,1
0.824947108,490392,1,0,0.593756531,0.748857119,1313.785572,2888.782346,16536.6,38178,43381.4,2,0
0.790066355,466802,1,1,0.835167844,1.128599907,492.1691505,0,2216.7,133822.7,133548.1,1,1
1,468639,0,0,0.756140547,12.23198447,0,454.6777381,5019.2,125084.7,123715.1,7,1
0.846593309,121991,1,0.666666667,7.306891773,1.371203209,1043.947472,1343.930202,11451.1,104253.2,104771.7,16,0
0.18838215,2644904,0,0,0.527591208,1.255489362,1244.721116,0,45,174490.5,174382.9,1,1
0.824300164,867580,608,1,9.99510987,8.234733688,1097.143089,10.01718287,459,110824.5,109627.5,2,1
1,480652,2,0.285714286,9.079894289,0.713480642,0,1445.921556,10446,36309.9,43836.5,4,1
0.553556935,3673,5,1,0.726959287,0.631758865,203.0936143,0,4633.3,4323.800003,4157.300003,1,1
0.689990029,683925,2,0.75,12.7990874,5.690970554,1627.658354,1510.440589,2556.2,95496.6,95470.8,4,0
0.772266648,485173,0,0,0.759527905,0.713480642,802.2636777,1065.540467,8511.4,44760.7,45255.5,16,0
0.849774823,596823,2,0.666666667,2.780687348,0.923550781,678.1904654,1216.523932,3611.2,97774.7,97390.2,2,1
0.743449657,557405,4,1,0.502232468,0.503733337,1322.769836,1441.338077,4043.2,140133.7,139940.6,4,1
0.77138764,1241751,2,1,1.375815778,1.06602685,458.1430438,2148.504343,8187,15164.2,21970.2,18,0
0.931434902,683079,0,1,4.304688538,7.857495254,686.036606,999.5235115,3965.1,143066.5,143464.2,6,0
0.903587605,430871,0,1,0.541513796,8.247586006,1942.697232,1024.405338,5757.5,109244,107955.6,7,0
0.633272705,483835,0,0.997940975,7.972585485,0.979146723,597.7227852,701.3871052,12380.4,48618.4,49190.8,6,0
0.750079309,87314,0,0.5,6.510667773,0.905753027,1093.045875,1764.289065,4807.9,149862.2,147359.8,5,0
0.944896961,111564,979,0.998979592,9.214497884,9.302484177,888.9569898,1211.828706,5400.9,68236.9,69943.3,8,1
0.875236581,39357,2,0.333333333,4.547870529,3.841781156,2531.316158,162.6818779,13090.5,25813.6,27432.1,4,0
0.472928125,243765,2,1,0.568219916,0.555950278,1156.828501,604.2522254,971.2999998,38863.8,38913.7,2,1
0.842042785,184881,1,0,6.607399403,1.146503576,110.6221327,1087.68724,13496.5,58025.8,60176,4,0
0.836749671,393867,0,0.666666667,0.879974141,10.13585107,330.9270573,1034.232757,6277.6,92637.3,90481.8,18,0
0.616500209,349656,0,0,4.740731791,0.645580537,2098.969065,0,1478,170963,171001.4,1,1
0.715244148,238015,2,0.75,10.95983677,0.723100521,1898.455114,661.5559559,125.8999997,7013.400002,6128.600003,1,0
0.814219236,83792,3,0,7.181308808,2.726527059,1633.248132,329.5889352,13232.4,51682.5,53768.7,4,0
0.727879273,329980,2,1,1.241041728,0.50269206,1982.302057,353.1416218,778,108435,108925.5,2,1
0.611557444,92682,2,1,0.540352219,1.010469296,1403.088702,621.3332913,9903.6,134377.4,135510.3,3,0
0.892765188,568181,2,0,5.924075658,7.680208448,1145.69137,2461.359796,7888.8,14370.4,18665.7,11,0
0.791169539,326341,2,1,4.09304609,1.135700242,1882.897026,865.6261948,12321.5,56995.3,62091.3,16,0
0.769481685,364430,0,0,1.128277524,0.523823119,195.8448727,1289.160564,1505.5,83096,82612.9,3,1
0.811532334,70456,4,0.444444444,4.933436434,2.974209266,1105.927556,568.699289,718.2999998,53127.3,53853.7,2,1
0.59128355,109042,2,1,1.109696735,1.245517497,1036.0243,59.92754293,1260.9,168357.9,168138.8,2,1
0.920078112,346853,0,0,1.307893478,3.221043764,1938.382139,1217.760982,2643.4,63133.4,62791.8,2,1
0.867453711,30093,2,1,1.086631773,0.741048526,1790.080157,513.2025125,1856.1,31063.1,31074.6,3,1
1,274509,0,1,0.585671675,0.678097869,2626.598856,414.4531736,3473.1,166496.9,165449.4,4,0
0.55127553,529163,4,0.5,1.212150929,7.611907367,1752.085887,755.5444852,15892.6,24217.5,30366.5,16,0
0.730401181,112742,2,0.666666667,7.041745148,0.720911576,1713.11375,682.4084131,1965.8,73760.3,76117.7,3,1
0.915376871,427338,2,0.4,7.631678385,1.348079489,2254.311609,447.0752625,15439.3,58606.8,57410.1,6,0
